"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i want to find status","validate that the user can search by the available status","SUCCESS","2022-01-07T14:10:47.392-05:00[America/Bogota]","0.0","8.95"
"As a user i want to find status","validate that the user can search by the Pending status","SUCCESS","2022-01-07T14:10:56.354-05:00[America/Bogota]","0.0","2.42"
"As a user i want to find status","validate that the user can search by the Sold status","SUCCESS","2022-01-07T14:10:58.774-05:00[America/Bogota]","0.0","2.12"
